apk_name,permission.READ_CALENDAR,permission.READ_CONTACTS,permission.RECEIVE_BOOT_COMPLETED,permission.VIBRATE,permission.WAKE_LOCK,permission.WRITE_CALENDAR,permission.BIND_REMOTEVIEWS,permission.WRITE_EXTERNAL_STORAGE,permission.ACCESS_NETWORK_STATE,permission.ACCESS_WIFI_STATE,permission.GET_ACCOUNTS,permission.GET_TASKS,permission.INTERNET,permission.READ_EXTERNAL_STORAGE,permission.READ_PHONE_STATE,permission.RECEIVE_ADM_MESSAGE,permission.C2D_MESSAGE,permission.BIND_GET_INSTALL_REFERRER_SERVICE,permission.BIND_JOB_SERVICE,permission.INSTALL_PACKAGES,permission.SEND,permission.REVOCATION_NOTIFICATION,permission.BLUETOOTH,permission.BLUETOOTH_ADMIN,permission.DOWNLOAD_WITHOUT_NOTIFICATION,permission.READ_APP_BADGE,permission.RECORD_AUDIO,permission.STORAGE,permission.SYSTEM_ALERT_WINDOW,permission.USE_BIOMETRIC,permission.USE_FINGERPRINT,permission.UPDATE_COUNT,permission.READ_SETTINGS,permission.UPDATE_SHORTCUT,permission.CHANGE_BADGE,permission.WRITE_SETTINGS,permission.UPDATE_BADGE,permission.BROADCAST_BADGE,permission.PROVIDER_INSERT_BADGE,permission.BADGE_COUNT_READ,permission.BADGE_COUNT_WRITE,permission.FOREGROUND_SERVICE,permission.MODIFY_AUDIO_SETTINGS,permission.READ_GSERVICES,permission.ACCESS_THIRD_PARTY_APP_AUTHORIZATION,permission.LAUNCH_FEDERATED_SIGN_IN,permission.CAMERA,permission.CHANGE_WIFI_MULTICAST_STATE,permission.CHANGE_WIFI_STATE,permission.FLASHLIGHT,permission.DISABLE_KEYGUARD,permission.BIND_QUICK_SETTINGS_TILE,permission.RECEIVE_LAUNCH_BROADCASTS,permission.WRITE_USE_APP_FEATURE_SURVEY,permission.USE_FULL_SCREEN_INTENT,permission.SET_ALARM,permission.DUMP,action.APPWIDGET_CONFIGURE,action.APPWIDGET_UPDATE,action.BOOT_COMPLETED,action.EDIT,action.INSERT,action.MAIN,action.QUICKBOOT_POWERON,action.SEARCH,action.VIEW,action.SEND,action.DOWNLOAD_COMPLETE,action.ACTION_POWER_CONNECTED,action.ACTION_POWER_DISCONNECTED,action.BATTERY_LOW,action.BATTERY_OKAY,action.DEVICE_STORAGE_LOW,action.DEVICE_STORAGE_OK,action.HEADSET_PLUG,action.MEDIA_BUTTON,action.TIME_SET,action.TIMEZONE_CHANGED,action.CLOSE,action.FORWARD,action.PERSISTENT_NOTIFICATION,action.PLAY,action.PLAY_PAUSE,action.PREPARE,action.REWIND,action.CustomTabsService,action.SEND_MULTIPLE,action.IMAGE_CAPTURE,action..SHOW_LANDING_PAGE_INTENT_ACTION,action..SHOW_RATE_APP_INTENT_ACTION,action.MY_PACKAGE_REPLACED,action.CONFIGURATION_CHANGED,action.CREATE_SHORTCUT,action.QS_TILE,action.QS_TILE_PREFERENCES,action.NEXT_ALARM_CLOCK_CHANGED,action.APPWIDGET_ENABLED,action.SHOW_ALARMS,SnoozeService,WidgetService,AnalyticsJobService,AnalyticsService,AppMeasurementJobService,AppMeasurementService,AlertsService,GcmService,MainService,PeripheralService,SocketService,FloatingLogsWindowService,ComponentDiscoveryService,FirebaseMessagingService,RevocationBoundService,RemoteFetchService,CampaignTrackingService,TDAntiCheatingService,RNPushNotificationListenerService,JobInfoSchedulerService,SystemAlarmService,SystemForegroundService,SystemJobService,MultiInstanceInvalidationService,KeepALiveService,PodCastService,PreloadArticleContentService,ZNewsMessagingService,AdService,AssetPackExtractionService,FullscreenAdService,AppKilledService,BinderPoolService,FirebaseNotificationService,MaterialDownloadService,GalaxyTorchService,TagManagerService,FirebaseInstanceIdService,LocationService,ActionService,AirshipService,AndroidJobService,AirshipFirebaseInstanceIdService,AirshipFirebaseMessagingService,PushService,GcmIntentJobService,GcmIntentService,NotificationRestoreService,RestoreJobService,RestoreKickoffJobService,SyncJobService,SyncService,NotifyService,CalculatorTileService,TimerService,category.DEFAULT,category.LAUNCHER,category.BROWSABLE,category.LEANBACK_LAUNCHER,category.APP_CALCULATOR,category.MULTIWINDOW_LAUNCHER
a53467151fd51b104b3310aade48293f20536ea06cbc9e4f5b1099c1fcfb4047,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3336f077e3ea72a17c209e80405002c924647ba70a35d3f5183ad978a296b429,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
BitcoinEthereum,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
NomadPlayPlayTogether,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
ZingvnVietnamDailyNews,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
30f0543918729e06d26aa9275ec654244cffb9f39251a560de49cdc44c5dd749,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
BabySleepSounds,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
66bfc38986e2f43501e2d2d5fb7309fe379e0666526d5f4ae8070c2aefe0fbc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
MediBangPaintMakeArt,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
c5c1d8e6168c9c3128a03acf1f6b43dc64bfad44dcdee4babad1155e8dd60214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
